question,worker,answer
0,0,0
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
1,20,0
1,21,0
1,2,0
1,6,0
1,22,1
1,10,0
1,23,1
1,8,0
1,24,0
1,5,0
1,25,0
1,26,0
1,16,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,12,0
1,9,0
2,25,0
2,8,0
2,30,1
2,32,0
2,9,0
2,1,0
2,33,0
2,34,0
2,28,0
2,35,0
2,10,0
2,26,0
2,7,0
2,36,1
2,20,0
2,37,0
2,38,1
2,39,0
2,12,0
2,40,0
3,22,0
3,1,0
3,2,0
3,41,0
3,42,0
3,14,0
3,39,0
3,43,0
3,26,0
3,44,0
3,45,0
3,6,0
3,46,0
3,47,0
3,35,0
3,48,0
3,8,0
3,4,0
3,49,0
3,28,0
4,30,1
4,50,0
4,45,1
4,16,1
4,12,1
4,26,1
4,51,1
4,22,0
4,20,1
4,23,1
4,5,1
4,14,1
4,52,1
4,11,1
4,28,1
4,53,1
4,49,1
4,10,1
4,54,1
4,7,1
5,55,1
5,28,1
5,8,1
5,11,1
5,56,1
5,4,1
5,12,1
5,6,1
5,57,1
5,3,1
5,10,1
5,29,1
5,20,1
5,47,1
5,58,1
5,59,1
5,26,1
5,16,0
5,5,1
5,45,1
6,8,1
6,6,1
6,35,1
6,7,1
6,60,1
6,26,1
6,16,1
6,20,1
6,55,1
6,22,1
6,61,1
6,62,1
6,45,1
6,63,1
6,42,1
6,64,1
6,65,1
6,66,1
6,29,1
6,19,1
7,6,1
7,67,1
7,68,1
7,54,1
7,69,1
7,38,1
7,55,1
7,59,1
7,70,1
7,5,1
7,26,1
7,15,1
7,58,1
7,60,1
7,4,1
7,0,1
7,71,1
7,36,1
7,44,1
7,72,1
8,20,0
8,42,0
8,68,0
8,21,0
8,29,0
8,23,0
8,16,0
8,59,0
8,73,0
8,25,1
8,30,1
8,8,0
8,74,0
8,4,0
8,75,1
8,26,0
8,19,0
8,76,0
8,5,0
8,35,0
9,54,1
9,77,0
9,78,0
9,26,0
9,68,0
