question,worker,answer
1,1,5
1,2,5
1,3,5
2,4,5
2,5,5
2,6,5
3,7,1
3,8,1
3,9,1
4,10,3
4,11,3
4,12,3
5,13,3
5,14,4
5,15,3
6,16,5
6,17,5
6,18,5
7,19,3
7,20,3
7,21,3
8,22,5
8,12,3
8,23,5
9,24,3
9,25,3
9,26,1
10,27,1
10,28,1
10,29,1
11,30,1
11,31,1
11,32,1
12,1,5
12,33,5
12,34,5
13,35,3
13,36,3
13,37,3
14,38,3
14,39,4
14,40,3
15,3,3
15,41,3
15,42,3
16,43,4
16,44,4
16,45,3
17,46,3
17,47,3
17,48,3
18,49,5
18,1,5
18,50,5
19,51,5
19,52,3
19,53,3
20,54,3
20,55,3
20,56,3
21,57,3
21,58,3
21,59,3
22,60,3
22,61,1
22,62,1
23,63,3
23,64,3
23,65,3
24,8,4
24,66,4
24,67,4
25,68,4
25,32,4
25,69,4
26,40,3
26,70,3
26,71,3
27,72,5
27,73,5
27,74,5
28,75,4
28,66,4
28,76,4
29,8,3
29,68,3
29,77,3
30,78,1
30,79,1
30,80,1
31,49,1
31,81,1
31,2,1
32,82,3
32,44,3
32,14,4
33,83,1
33,84,1
33,61,1
34,34,3
34,85,3
34,86,3
35,87,1
35,88,1
35,89,1
36,90,3
36,40,3
36,91,5
37,92,3
37,9,3
37,93,3
38,84,3
38,94,3
38,95,3
39,96,3
39,92,3
39,97,3
40,98,5
40,99,4
40,60,5
41,100,5
41,101,5
41,102,5
42,103,5
42,75,5
42,104,5
43,105,3
43,106,3
43,91,3
44,107,3
44,108,4
44,109,4
45,16,1
45,110,1
45,54,1
46,111,5
46,112,5
46,48,5
47,113,4
47,114,4
47,60,4
48,115,5
48,33,5
48,116,5
49,117,4
49,115,4
49,49,4
50,32,4
50,69,4
50,118,4
51,119,3
51,120,3
51,43,3
52,3,3
52,121,3
52,122,3
53,123,5
53,124,5
53,125,5
54,126,5
54,127,5
54,128,5
55,113,3
55,129,3
55,130,3
56,52,4
56,131,1
56,132,3
57,114,4
57,133,4
57,24,4
58,78,5
58,134,5
58,14,5
59,135,1
59,136,1
59,137,1
60,138,3
60,139,3
60,140,5
61,104,3
61,116,3
61,108,3
62,141,4
62,39,4
62,27,3
63,142,5
63,43,5
63,143,3
64,142,3
64,2,3
64,144,3
65,104,1
65,145,1
65,146,1
66,77,1
66,25,1
66,147,1
67,84,3
67,2,3
67,43,3
68,148,3
68,149,5
68,150,5
69,151,4
69,152,4
69,153,4
70,154,5
70,155,5
70,156,5
71,47,5
71,70,5
71,157,5
72,158,5
72,159,1
72,160,1
73,161,3
73,162,3
73,163,3
74,164,3
74,165,3
74,166,3
75,32,5
75,60,5
75,167,5
76,49,5
76,168,5
76,1,5
77,7,1
77,169,1
77,16,1
78,14,1
78,170,1
78,105,1
79,171,3
79,172,4
79,173,3
80,174,5
80,175,4
80,176,5
81,177,5
81,178,5
81,179,5
82,180,5
82,181,3
82,105,5
83,182,5
83,105,3
83,47,4
84,69,3
84,183,3
84,16,5
85,179,5
85,173,5
85,9,5
86,105,3
86,184,3
86,32,3
87,185,5
87,33,5
87,186,3
88,187,3
88,92,3
88,188,3
89,60,3
89,189,3
89,16,3
90,190,4
90,191,3
90,192,4
91,193,3
91,194,3
91,195,3
92,70,3
92,196,3
92,197,3
93,198,5
93,199,5
93,200,5
94,105,3
94,201,2
94,202,3
95,94,3
95,203,3
95,204,3
96,205,3
96,173,3
96,206,4
97,207,5
97,208,5
97,209,5
98,210,4
98,11,5
98,117,5
99,211,3
99,212,3
99,213,3
100,214,4
100,215,4
100,196,4
101,119,4
101,216,4
101,50,4
102,2,3
102,54,3
102,206,3
103,217,1
103,1,1
103,59,1
104,218,1
104,86,1
104,129,1
