5,3,33606,1209
question,truth
1,5
2,5
3,1
4,3:2
5,3:2
6,5
7,2:3
8,2:3
9,2:3
11,1
10,1
12,5
13,2:3
14,2:3
15,4
16,4
17,2:3
18,5
19,4
20,2:3
21,2:3
22,1
23,3:2
24,4
25,4
26,3:2
27,5
28,5
29,3:2
30,1
31,1
32,4
33,1
34,3:2
35,1
36,2:3
38,2:3
37,2:3
39,2:3
40,5
41,5
42,5
43,2:3
44,4
45,1
46,5
47,4
48,5
49,4
50,4
51,2:3
52,2:3
53,5
54,5
55,2:3
56,4
57,3:2
58,5
59,1
61,3:2
60,5
62,4
63,3:2
64,2:3
65,1
66,1
67,2:3
68,5
69,4
70,5
71,5
73,2:3
72,1
74,2:3
75,5
76,5
77,1
78,1
79,2:3
80,5
81,5
83,4
82,5
84,5
85,5
86,3:2
87,5
88,3:2
89,2:3
90,4
91,3:2
92,2:3
93,5
94,2:3
95,3:2
96,3:2
97,5
98,5
99,2:3
100,4
101,4
102,2:3
103,1
104,1
106,1
105,5
107,4
108,2:3
109,3:2
111,5
110,1
112,1
113,4
114,5
115,4
116,3:2
117,3:2
118,3:2
119,4
120,3:2
121,4
122,2:3
123,5
124,5
125,3:2
126,4
127,5
128,5
129,5
130,4
131,5
132,3:2
133,4
134,5
135,5
136,5
137,5
138,3:2
140,5
139,1
142,2:3
141,5
143,5
144,2:3
146,2:3
145,1
147,5
148,4
149,3:2
150,4
151,5
153,3:2
152,3:2
154,3:2
155,5
156,4
157,3:2
158,3:2
159,3:2
160,2:3
161,4
162,3:2
163,3:2
164,5
165,3:2
166,1
167,2:3
168,5
169,5
170,3:2
171,3:2
172,5
173,5
174,4
175,4
176,4
177,2:3
178,3:2
179,2:3
180,3:2
181,2:3
182,1
184,5
183,4
185,4
187,2:3
186,4
188,4
189,2:3
190,5
191,5
192,2:3
193,3:2
194,3:2
195,3:2
196,4
197,4
198,2:3
200,1
199,5
201,3:2
202,1
203,1
204,1
206,1
205,4
207,5
208,5
209,4
210,4
211,2:3
212,5
213,4
214,3:2
215,5
216,2:3
217,2:3
218,5
219,5
220,4
221,3:2
222,2:3
223,3:2
224,1
225,1
226,3:2
227,3:2
228,1
229,1
230,4
231,1
232,5
233,5
234,3:2
235,5
236,1
237,3:2
238,4
239,2:3
240,5
241,4
242,2:3
244,5
243,4
245,3:2
246,2:3
247,3:2
248,5
250,3:2
249,4
252,2:3
251,4
253,2:3
254,2:3
255,4
256,5
257,5
258,4
259,2:3
260,5
261,4
263,2:3
262,2:3
264,3:2
265,3:2
266,5
267,4
268,1
269,3:2
270,1
271,3:2
272,5
273,2:3
274,2:3
276,2:3
275,5
278,4
277,4
280,2:3
279,3:2
281,2:3
282,5
283,5
284,4
286,5
285,4
287,4
288,3:2
289,1
290,4
292,2:3
291,1
293,2:3
294,5
295,4
296,5
297,2:3
298,2:3
299,4
300,5
301,3:2
303,4
302,4
304,4
305,5
306,5
307,2:3
308,3:2
309,3:2
310,2:3
311,4
312,4
313,5
314,2:3
315,2:3
316,4
317,5
318,5
319,2:3
320,4
321,5
322,3:2
323,5
324,4
325,2:3
326,5
327,5
328,4
329,2:3
330,1
332,5
331,5
333,3:2
334,5
335,3:2
336,4
337,1
338,4
339,1
340,4
341,4
342,4
343,1
344,4
345,1
346,1
347,4
348,3:2
349,4
350,3:2
353,5
352,4
351,3:2
354,1
355,3:2
356,4
357,1
358,3:2
359,4
360,2:3
361,3:2
362,4
363,1
365,1
364,4
367,2:3
366,3:2
368,4
369,3:2
370,3:2
371,1
372,5
373,1
374,2:3
375,3:2
376,4
377,5
378,4
379,4
380,5
381,4
382,1
383,4
384,3:2
385,4
386,1
387,1
388,4
389,5
390,1
391,5
392,1
393,4
394,4
395,4
396,1
398,1
397,5
399,4
400,2:3
401,5
402,1
403,1
404,2:3
405,4
406,3:2
408,2:3
407,1
409,3:2
410,1
411,2:3
412,4
414,2:3
415,5
413,1
416,5
417,1
418,2:3
419,1
421,2:3
420,1
423,5
422,4
424,2:3
426,2:3
425,1
427,2:3
429,3:2
428,1
430,2:3
431,5
432,2:3
434,4
433,4
435,1
436,2:3
437,1
438,2:3
439,5
440,5
441,2:3
442,2:3
443,1
444,3:2
445,2:3
446,4
447,4
448,4
449,2:3
450,2:3
451,1
452,5
453,2:3
454,4
457,3:2
455,1
456,5
458,4
459,5
460,1
462,2:3
463,4
461,5
464,4
466,5
465,4
467,3:2
468,4
469,4
470,1
471,4
472,4
474,2:3
473,1
475,3:2
476,5
477,1
478,2:3
479,4
480,2:3
481,4
482,1
484,5
483,4
485,4
487,2:3
486,4
488,2:3
489,4
491,2:3
490,5
492,5
493,2:3
494,3:2
496,5
495,4
497,5
498,4
500,5
499,3:2
501,2:3
502,1
503,5
504,3:2
505,4
506,5
507,1
508,2:3
509,2:3
510,5
511,3:2
512,2:3
513,5
514,1
515,2:3
516,2:3
517,4
518,5
519,3:2
520,5
521,3:2
522,3:2
523,3:2
524,1
525,1
526,5
527,4
528,4
529,1
530,4
531,5
533,1
534,2:3
532,5
535,3:2
536,5
537,4
538,1
539,5
540,3:2
541,2:3
